report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level,id
SEP-2013,2013,SEP,FR_Sep_2013.pdf,N16000108,BUTADIENE EXTRACTION UNIT (BDEU) AT PANIPAT(INDIAN OIL CORPORATION LIMITED),BDEU,,02/2013,,02/2013,341.5,,341.5,0.0,0.0,198.81,58.22,58.22,0.0,0.0,Low,On Schedule,,Petroleum & Natural Gas,Haryana,1.0,0.582,5.836,0,36.0,On Schedule,0,Low,999
SEP-2013,2013,SEP,FR_Sep_2013.pdf,N18000089,13 INTERCONNECTION BETWEEN ELECTTRICAL GRIDS OF INDIA AND B(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,10/2012,,10/2012,160.32,,160.32,0.0,0.0,87.63,54.66,54.66,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.547,5.083,0,36.0,On Schedule,0,Low,1000
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N24000118,END OF DURG BYPASS-CHHATISGARH/MAHARASHTRA BORDER(NATIONAL HIGHWAYS AUTHORITY OF INDIA),NATIONAL HIGHWAYS AUTHORITY OF INDIA,,01/2011,,01/2011,464.0,,535.62,71.62,15.44,535.62,100.0,115.44,15.44,0.0,Medium,General Execution Delay,,Road Transport & Highways,Maharashtra,1.154,1.154,6.142,1,36.0,On Schedule,0,Medium,1001
APR-2013,2013,APR,FR_APR_2013.pdf,N18000091,NORTHERN REGION SYSTEM STRENGTHENING SCHEME-XXII(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,08/2013,,08/2013,209.78,,209.78,0.0,0.0,52.2,24.88,24.88,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.249,5.351,0,36.0,On Schedule,0,Low,1002
FEB-2013,2013,FEB,FR_FEB_2013.pdf,240106288,DAKOBA TO NAGAON (NH-36)(NHAI)(NATIONAL HIGHWAYS AUTHORITY OF INDIA),NHAI,,06/2008,,06/2008,225.0,,285.2,60.2,26.76,285.2,100.0,126.76,26.76,0.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.268,1.268,5.421,1,36.0,On Schedule,0,Medium,1003
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N22000093,MUMBAI URBAN TRANSPORT PROJECT PHASE- I(METROPOLITAN RAPID TRANSPORT PROJECTS),METROPOLITAN RAPID TRANSPORT PROJECTS,,06/2011,,06/2011,3125.2,,4334.0,1208.8,38.68,4334.0,100.0,138.68,38.68,0.0,Medium,General Execution Delay,,Petroleum & Natural Gas,Maharashtra,1.387,1.387,8.048,1,36.0,On Schedule,0,Medium,1004
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N18000022,WESTERN REGION STRENGTHENING SCHEME-II(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,07/2010,,07/2010,5221.23,,5221.23,0.0,0.0,3175.3,60.82,60.82,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.608,8.561,0,36.0,On Schedule,0,Low,1005
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N08000008,CAPACITY ENHANCEMENT OF AMMONIA AND UREA PLANT VIJ(NATIONAL FERTILISER LIMITED),NATIONAL FERTILISER LIMITED,,07/2011,,07/2011,438.0,,438.0,0.0,0.0,239.93,54.78,54.78,0.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.548,6.084,0,36.0,On Schedule,0,Low,1006
SEP-2013,2013,SEP,FR_Sep_2013.pdf,N24000088,"GWALIOR BYPSS, NH-75,3(NATIONAL HIGHWAYS AUTHORITY OF INDIA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA,,10/2009,,10/2009,300.93,,302.7,1.77,0.59,302.7,100.0,100.59,0.59,0.0,Low,On Schedule,,Road Transport & Highways,Madhya Pradesh,1.006,1.006,5.71,0,36.0,On Schedule,0,Low,1007
SEP-2013,2013,SEP,FR_Sep_2013.pdf,N18000046,TRANSMISSION SYSTEM ASSOCIATED WITH SASAN ULTRA ME(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,12/2012,,12/2012,7031.88,,7031.88,0.0,0.0,4591.9,65.3,65.3,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.653,8.858,0,36.0,On Schedule,0,Low,1008
JUN-2013,2013,JUN,FR_JUN_2013.pdf,N22000027,PALWAL-BHUTESWAR 3RD LINE DOUBLING(NCR)(RVNL)(RAIL VIKAS NIGAM LTD.),NCR,,03/2009,,03/2009,240.0,,334.59000000000003,94.59,39.41,334.59,100.0,139.41,39.41,0.0,Medium,General Execution Delay,,Railways,Delhi & NCR,1.394,1.394,5.485,1,36.0,On Schedule,0,Medium,1009
